"posting.title","posting.company_name","posting.skills_desc","posting.description","posting.formatted_experience_level","posting.location"
"Software Engineer, New Grad","Stripe","Rest APIs, Java, Ruby, JavaScript, Scala, and Go","Who we are
About Stripe
Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.

About the team
Stripe offers an interesting middle ground between joining a small startup and going to work for a multinational company. We have systems and processes optimized for early-career professionals. You will be in an environment that prizes rigor, discipline, and reliability—from our products, from our ways of working, and from our colleagues. You will learn how the best teams put together extremely reliable systems, and you will be responsible for operating these systems, with adequate backup when things get tough.

What you’ll do
As a company, we believe in end-to-end ownership of projects. For any given project, we have one person on point. While they don't necessarily have to do all the work themselves, it's their job to make sure all the work gets done. We launch betas and prototypes as early as we can. This helps ensure that we're building what users actually want. We contribute back to the community, often by building things we think are cool and by releasing open-source software.

Responsibilities
Work on cross-functional projects, directly collaborating with other engineers
Give meaningful feedback on code reviews and technical designs
Ensure that the systems your team operates continue running well and can scale to meet the needs of our users
Build the skills to own a project from beginning to end, learning project management and technical leadership skills
Who you are
We’re looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement.

Minimum requirements
A Bachelor’s or Master’s degree in computer science or a directly related field, obtained by summer 2026, or equivalent work experience
Some experience and familiarity with programming, either through side projects or classwork. We work mostly in Java, Ruby, JavaScript, Scala, and Go. We believe new programming languages can be learned if the fundamentals and general knowledge are present
Experience from either previous internships or working collaboratively on multi-person coding projects (in a university or professional setting)
Ability to learn unfamiliar systems and form an understanding of those systems, through independent research and working with a mentor and subject matter experts
Preferred qualifications
One or more areas of specialized knowledge balanced with general skills and knowledge, such as knowing more frontend technologies and, at a high level, how a service handles an HTTP request
Experience in code review practices, and an understanding of how to safely update production systems
Familiarity with navigating and managing work in large code bases
In-office expectations
Office-assigned Stripes in most of our locations are currently expected to spend at least 50% of the time in a given month in their local office or with users. This expectation may vary depending on role, team and location. For example, Stripes in our Bucharest, Romania site have an 80% in-office expectation, and those in Stripe Delivery Center roles in Mexico City, Mexico and Bengaluru, India work 100% from the office. Also, some teams have greater in-office attendance requirements, to appropriately support our users and workflows, which the hiring manager will discuss. This approach helps strike a balance between bringing people together for in-person collaboration and learning from each other, while supporting flexibility when possible.
Pay and benefits
The annual US base salary range for this role is $122,100 - $134,400. For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses target and annual base salary for the role. This salary range may be inclusive of several career levels at Stripe and will be narrowed during the interview process based on a number of factors, including the candidate’s experience, qualifications, and location. Applicants interested in this role and who are not located in the US may request the annual salary range for their location during the interview process.

Additional benefits for this role may include: equity, company bonus or sales commissions/bonuses; 401(k) plan; medical, dental, and vision benefits; and wellness stipends.","Entry Level","New York"
"Software Engineer","Jane Street","Python, OCaml","About the Position
We’re looking for Software Engineers who want to help us design and build the systems and tools that run the firm. You’ll find Software Engineers in all parts of Jane Street, solving real problems in critical areas ranging from trading desks to our accounting team, as well as building foundational infrastructure, whether that means implementing network monitoring or risk models. 

We are big believers in functional programming and, using OCaml, a statically -typed functional programming language, as our primary tool. More recently, Python has become a vital part of Jane Street’s research and trading work, acting as the go-to language for data analysis, visualization, and machine learning. 

Beyond our own environment, we also recognize the value of open source software, leveraging it in our daily work and releasing over a million lines of our own code as open source. We’re also always looking for ways to expand open source projects, and provide ongoing support to things like Mercurial, the OCaml compiler, and the OPAM package manager. That said, we’re interested in talented engineers with experience in any language—most of us came in with little to no practical experience in OCaml before we joined.

If you’d like to learn more, you can read about our interview process and meet some of our newest hires.

About You
We don’t expect you to have a background in functional programming, OCaml, Python, finance, or any other specific field—we’re looking for smart programmers who enjoy solving interesting problems. We’re more interested in how you think and learn than what you currently know. You should be:

A top-notch programmer with a love for technology
Intellectually curious, collaborative, and eager to learn
Humble and unafraid to ask questions and admit mistakes","Entry Level","New York"
"Software Developer","DRW","Python, C++","Our formula for success is to hire exceptional people, encourage their ideas and reward their results.

As a Software Developer, you will be an integral member of a dynamic team of technologists, quantitative researchers, and traders. Collaborating closely, you will contribute across the full technology stack tackling complex problems that require careful analysis and swift execution. 

We’re looking for individuals who are eager to learn, think critically, and deliver solutions that drive tangible impact. From day one, you will be entrusted with meaningful responsibility, supported by mentorship from experienced engineers, and participate in a rigorous training program designed to accelerate your growth in this role. 

At DRW, you’ll thrive in a fast-paced, collaborative environment that values innovation, adaptability, and excellence—providing the tools and opportunities to make a direct difference. 

How you will make an impact…

You will design, develop, test, and deploy proprietary software that powers fundamental aspects of our business, including: 
Scalable platforms for data visualization and analytics to drive deeper market insights 
Platforms enabling scenario modeling, portfolio development, and performance tracking 
Systems for accurate pricing and risk analytics of options, futures, and derivatives 
Real-time and historical risk analysis and trade monitoring systems 
Advanced data acquisition, integration, and storage systems for fundamental datasets 
Continuous analysis and tuning of system performance 
Collaboration with experienced teammates to deliver bespoke solutions balancing speed, functionality, and cost, enhancing our technology stack 
What you bring to the team…

You’ll join us with a strong technical foundation and the ability to collaborate effectively. Specifically, you bring: 

A degree in Computer Science, Physics, Mathematics, or a related engineering discipline, with graduation expected between December 2025 and June 2026 (Bachelor’s, Master’s, or PhD) 
Proficiency in modern Java software development 
Skills in multi-threading, API design and integration, data processing, and UI development 
A strong grasp of object-oriented design, data structures, and algorithms 
Solid programming fundamentals paired with clear logical thinking and effective communication 
The ability to clearly articulate and advocate for your ideas within a collaborative team environment 
DRW is a diversified trading firm with over 3 decades of experience bringing sophisticated technology and exceptional people together to operate in markets around the world.  We value autonomy and the ability to quickly pivot to capture opportunities, so we operate using our own capital and trading at our own risk. 

Headquartered in Chicago with offices throughout the U.S., Canada, Europe, and Asia, we trade a variety of asset classes including Fixed Income, ETFs, Equities, FX, Commodities and Energy across all major global markets. We have also leveraged our expertise and technology to expand into three non-traditional strategies: real estate, venture capital and cryptoassets. 

We operate with respect, curiosity and open minds. The people who thrive here share our belief that it’s not just what we do that matters–it's how we do it.  DRW is a place of high expectations, integrity, innovation and a willingness to challenge consensus.  

The annual base salary range for this position is $175,000 depending on the candidate’s experience, qualifications, and relevant skill set. The position is also eligible for an annual discretionary bonus.  In addition, DRW offers a comprehensive suite of employee benefits including group medical, pharmacy, dental and vision insurance, 401k (with discretionary employer match), short and long-term disability, life and AD&D insurance, health savings accounts, and flexible spending accounts.","Entry Level","Chicago"
"Software Engineer - New Grad","Tower Research","Python, C++","Tower Research Capital is a leading quantitative trading firm founded in 1998. Tower has built its business on a high-performance platform and independent trading teams. We have a 25+ year track record of innovation and a reputation for discovering unique market opportunities.

Tower is home to some of the world’s best systematic trading and engineering talent. We empower portfolio managers to build their teams and strategies independently while providing the economies of scale that come from a large, global organization. 

Engineers thrive at Tower while developing electronic trading infrastructure at a world class level. Our engineers solve challenging problems in the realms of low-latency programming, FPGA technology, hardware acceleration and machine learning. Our ongoing investment in top engineering talent and technology ensures our platform remains unmatched in terms of functionality, scalability and performance.

At Tower, every employee plays a role in our success. Our Business Support teams are essential to building and maintaining the platform that powers everything we do — combining market access, data, compute, and research infrastructure with risk management, compliance, and a full suite of business services. Our Business Support teams enable our trading and engineering teams to perform at their best.

At Tower, employees will find a stimulating, results-oriented environment where highly intelligent and motivated colleagues inspire each other to reach their greatest potential.

Responsibilities:

Optimizing systems by using network and systems programming, as well as other advanced techniques to minimize latency
Designing, building, and leveraging systems to collect, analyze, and visualize large amounts of data
Building data pipelines to capture reference and market data and developing systems that provide fast and easy access to them
Building trading systems for algo trading
Enhancing the efficiency of trading operations by developing (AI assisted) automation solutions and products
Qualifications:

A Bachelor's, Master's, or PhD degree in computer science or a related field
0-2 years of experience
Deep knowledge of programming concepts and object-oriented programming
Proficiency in C++
Knowledge of SQL and relational databases
Working knowledge of Linux
Strong problem-solving abilities and communication skills
The ability to manage multiple tasks in a fast-paced environment
A passion for new technologies and ideas
Past industry experience (a plus)
This position requires proficiency in both French and English, both spoken and written. English proficiency is required as the position involves regular interactions with international anglophone team members.
Tower’s headquarters are in the historic Equitable Building, right in the heart of NYC’s Financial District and our impact is global, with over a dozen offices around the world. 

At Tower, we believe work should be both challenging and enjoyable. That is why we foster a culture where smart, driven people thrive – without the egos. Our open concept workplace, casual dress code, and well-stocked kitchens reflect the value we place on a friendly, collaborative environment where everyone is respected, and great ideas win.

Our benefits include:

Generous paid time off policies
Savings plans and other financial wellness tools available in each region
Hybrid working opportunities
Free breakfast, lunch, and snacks daily 
In-office wellness experiences and reimbursement for select wellness expenses (e.g., gym, personal training and more) 
Company-sponsored sports teams and fitness events (JPM Corporate Challenge, Cycle for Survival, Wall Street Rides FAR and more)
Volunteer opportunities and charitable giving 
Social events, happy hours, treats, and celebrations throughout the year
Workshops and continuous learning opportunities
At Tower, you’ll find a collaborative and welcoming culture, a diverse team and a workplace that values both performance and enjoyment. No unnecessary hierarchy. No ego. Just great people doing great work – together.

Tower Research Capital is an equal opportunity employer.","Entry Level","New York"
"Junior Developer C++","Akuna Capital","C++","About Akuna

Akuna Capital is an innovative trading firm with a strong focus on collaboration, cutting-edge technology, data driven solutions and automation. We specialise in providing liquidity as an options market maker – meaning we are committed to providing competitive quotes that we are willing to both buy and sell. To do this successfully we design and implement our own low latency technologies, trading strategies and mathematical models. At Akuna we have a flat structure, where the best idea wins.

Our Founding Partners, including Andrew Killion, first conceptualized Akuna in their hometown of Sydney. They opened the firm’s first office in 2011 in the heart of the derivatives industry and the options capital of the world – Chicago. Today, Akuna is proud to operate from additional offices in Shanghai, Sydney, Singapore and London.

What you’ll do as a Junior Developer on the C++ Team at Akuna:

Akuna is looking for a Graduate C++ Developer to join our development team and contribute to building our proprietary trading systems. Our engineers use modern technologies and development approaches while owning the end to end delivery of projects. In this role you will:
Work on a range of high-performance and low-latency systems, ranging from exchange connectivity, trading algorithms, pricing, and automation.
Collaborate closely with colleagues from within the technology team and other departments including quant and trading to identify and deliver high impact projects.
Be responsible for the full software development life cycle from requirements analysis, design, development, testing, deployment, and post deployment reliability and performance.
Contribute innovative ideas and solutions to the team.
Qualities that make great candidates:
BS/MS/PhD in Computer Science, Engineering, or equivalent technical field
0-2 years' experience, must be graduating by Jul 2026 or prior
Familiarity with modern C++ development and best practices
Excellent communication and collaboration skills
Passion for building high quality software within a fast-moving environment
Familiarity with data structures, algorithms, and lower-level performance optimisation
Familiarity with multi-threaded and distributed systems
Willing to communicate in English at the technical interviews.","Entry Level","New York"
"College Graduates - Full-Time - Junior Software Engineer (2026)","Old Mission Capital","C++, Python, SQL, JavaScript, React","Old Mission is a global proprietary trading firm that leverages state-of-the-art technology and research to identify and execute profitable trading strategies across multiple asset classes around the world. Our offices in Chicago, New York, and London are all composed of naturally-curious individuals who thrive in a team environment and constantly strive for improvement.

Old Mission does not seek capital from outside investors, allowing us the flexibility to aggressively invest in our team members and keep them engaged in the firm’s growth.

About the Position

Our development program is geared for college graduates who want to work alongside our talented software engineers creating impactful solutions to further the firm’s market initiatives. Responsibilities include developing and supporting C++ based trading applications and tools. You will be given immediate responsibilities which will significantly contribute to the firm’s daily activities. In this role, you’ll have the opportunity to learn more about creative programming and the tools needed to support electronic trading. If you are looking to have an immediate contribution and would like to be part of building out our business, feel free to apply today! 

Required Skills

An undergraduate or an advanced degree in a quantitative field such as Computer Science, Engineering, or one of the hard sciences
Minimum 3.0 GPA
Knowledge of C++ and Python, SQL, JavaScript, React
Understanding of systems programming, data structures, and algorithms 
Familiarity working in a Linux environment
Strong analytical and problem solving skills
Great communication skills, both written and verbal
A strong work ethic and ability to adapt quickly in a fast-paced environment
Benefits and Perks
Fully paid Medical, Dental, Vision, Disability, and Life Insurance
Fully stocked kitchen; free breakfast and lunch every day on-site
Tuition Reimbursement Program
401(k) with employer match
Paid Vacation, Sick, and Parental leaves
Commuter and Flexible Spending Programs
Base Salary Range 

$145,000 - $175,000 - Salaries are based on numerous factors such as skills, experience, and education. Our compensation package also includes a discretionary bonus and a comprehensive benefits program for full-time employees. For more information, reach out to your recruiter. 

Old Mission is not accepting unsolicited resumes from any staffing/search firms. All resumes submitted by staffing/search firms to any employee at Old Mission via-email, the Internet or directly without a valid signed search agreement will be deemed the sole property of Old Mission, and no fee will be paid in the event the candidate is hired by Old Mission.","Entry Level","New York"
"Senior Software Engineer","TransMarketGroup","C++, Python, Bash, C#, Linux, SQL, network programming","Who We Are

Founded in 1980 as Aardvark Financial, TransMarket Group (TMG) is a privately held global markets proprietary trading firm in Chicago. We use next-generation technology to capture opportunities around the world and manage risk in financial markets. Our mission is to bless others through the services we provide and through the generous stewardship of the wealth we create.

TMG is a well-established and profitable business as a respected member of the global financial system for over 40 years, but also is like a startup because the potential of our group is at least one order of magnitude greater than what we are currently producing. We have an entrepreneurial culture and collaboratively develop our business with patience and discipline; we work hard, learn constantly, and relentlessly improve our expertise.

Description

Our Core Team designs and builds low latency systems that allow us to trade a diverse set of instruments across a wide range of Exchanges and ECN’s. Our systems try to hit the sweet spot between clean and understandable code, low latency performance, stable behavior, and zero error tolerance. The libraries you work on will become the engine of our firm’s strategies.

Responsibilities

Design and implement network connectivity, specialized container, market data, and execution libraries for our automated trading software platform
Tune and refine existing components to improve performance and increase stability
Work closely with our strategy teams to understand how they are consuming the libraries you write, so that you can anticipate and deliver future improvements
Develop and support production quality components using the libraries you’ve worked on to facilitate data collection and back testing of our trading strategies
Maintain existing applications and exchange connectivity
Tools: C++, Python, Bash, C#, Linux, SQL, network programming
Requirements

Master’s degree in Computer Science, Computer Engineering, Informatics, Bioinformatics, or Technology plus two years of experience in software engineering OR Bachelor’s degree in Computer Science, Computer Engineering, Informatics, Bioinformatics, or Technology plus five years of experience in software engineering
Must have previous experience with implementing exchange connectivity at any major Exchange
Experience working on or closely with an algorithmic trading strategy team is a plus, as is experience designing or working with systems designed to backtest trading strategies
Proficiency in C++, Multithreading, IPC, Automated testing and benchmarking, Low latency containers, Linux, OnLoad network stack
Python and/or Bash scripting, SQL, C#, CI/CD pipelines in Gitlab preferred
This position requires physical presence and is onsite (no remote work)","Mid-level","New York"
"AI Forward Deployed Engineer (Early Career)","Salesforce","Java, Python, LLM, AI","Description
Applications for this position will be accepted on an ongoing basis

About the Role

We are looking for the best and brightest college graduates to join our Agentforce Forward Deployed Engineer organization. This hybrid technologist and strategic partner role will personally drive transformative AI solutions by designing, developing, and directly implementing bespoke solutions leveraging our Agentforce platform and other cutting-edge technologies. The role demands technical mastery, problem-solving prowess, and a relentless focus on delivering tangible value in dynamic, real-world environments, from initial concept to successful deployment and ongoing optimization. As an Agentforce Forward Deployed Engineer, you'll be at the forefront of bringing cutting-edge AI solutions to our clients, rolling up your sleeves to make it happen. This isn't just about coding; it's about deeply understanding our customers' most complex problems and crafting, building, and delivering innovative, impactful solutions that leverage our Agentforce platform and beyond.

Your Impact

Drive Tangible Outcomes through Hands-On Implementation: Be responsible for the end-to-end technical delivery of AI solutions, personally writing code, configuring systems, and troubleshooting issues to ensure successful deployment and measurable business impact.
Remove Technical Blockers: Proactively identify and directly resolve complex technical challenges during all phases of solution delivery, from data integration to model deployment and agent orchestration. You'll be the go-to expert for unblocking progress.
Build Transformative AI Solutions: Design, develop, and personally implement high-quality, scalable production systems. A significant part of this will involve leveraging AI and Large Language Models (LLMs) to create intelligent agents and automate workflows, all built on top of the Salesforce platform.
Data Configuration & Integration: Take direct ownership of data from end-to-end. You'll design robust data models, hands-on build efficient processing pipelines, and establish seamless integration strategies to ingest, transform, and analyze complex datasets. Your work will ensure data is always ready and optimized for our AI applications.
Drive Agentforce Innovation: Become an expert in our innovative Agentforce platform. You'll directly push its capabilities to the limit, developing bespoke intelligent agents, automating intricate business processes, and crafting intuitive user experiences that deliver tangible value.
Become a Trusted Partner: Embed yourself with client teams to truly grasp their operational challenges and strategic goals. You'll translate these nuanced needs into clear, actionable technical requirements, building strong relationships as their primary technical advisor.
Conduct Deep-Dive Technical Debugging: Perform detailed analysis and debugging of complex system interactions, data flows, and AI model behaviors to optimize performance and ensure reliability.
Prototype and Iterate Rapidly: Quickly develop proofs-of-concept and minimum viable products, coding alongside client teams to demonstrate capabilities and gather feedback for iterative refinement.
Implement Best Practices: Directly apply engineering best practices for code quality, scalability, security, and maintainability across all deployed solutions.
Required Qualifications

Strong background in Computer Science or a related engineering discipline.
Academic, professional or internship experience working in a professional coding setting environment
Proficiency in one or more programming languages (e.g., JavaScript, Java, Python, Apex).
Proven track record of hands-on, end-to-end delivery of high-quality, scalable production solutions in a professional environment.
Hands-on experience building solutions with AI/LLM technologies, including integrating LLMs, applying AI orchestration frameworks, and prompt engineering techniques.
Strong experience in data modeling, processing, integration, and analytics, with demonstrable proficiency in data platforms (e.g., Salesforce Data Cloud, Snowflake, Databricks).
Direct experience with the Salesforce platform, including configuration, customization, and development.
Demonstrated entrepreneurship, a ""get-things-done"" attitude, and a focus on fast delivery.
Excellent collaboration and communication skills, both written and verbal.
Ability to travel 25-50% of the time, as needed to customer sites.
Preferred Qualifications

Experience with Salesforce Data Cloud and/or Agentforce platform.
Experience developing conversational AI solutions within regulated industries.
Experience with Apex and/or Python coding languages.
Prior customer-facing experience.
Salesforce platform certifications (e.g., Administrator, Platform Developer I, Architect).
Knowledgeable across Salesforce CRM (Service, Sales, and Marketing).
Experience with Salesforce Flows and Lightning Web Components (LWC).
For roles in San Francisco and Los Angeles: Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.","Entry-level","Washington - Bellevue"
"University Grad | Software Engineer | Backend","Ramp","React,  Flask (Python), Elixir, AWS, RabbitMQ, PostgreSQL","About Ramp
At Ramp, we’re rethinking how modern finance teams function in the age of AI. We believe AI isn’t just the next big wave. It’s the new foundation for how business gets done. We’re investing in that future — and in the people bold enough to build it.

Ramp is a financial operations platform designed to save companies time and money. Our all-in-one solution combines payments, corporate cards, vendor management, procurement, travel booking, and automated bookkeeping with built-in intelligence to maximize the impact of every dollar and hour spent. More than 45,000 businesses, from family-owned farms to e-commerce giants to space startups, have saved $10B and 27.5M hours with Ramp. Founded in 2019, Ramp powers the fastest-growing corporate card and bill payment platform in America, and enables over $100 billion in purchases each year.

Ramp’s investors include Thrive Capital, Sands Capital, General Catalyst, Founders Fund, Khosla Ventures, Sequoia Capital, Greylock, and Redpoint, as well as over 100 angel investors who were founders or executives of leading companies. The Ramp team comprises talented leaders from leading financial services and fintech companies—Stripe, Affirm, Goldman Sachs, American Express, Mastercard, Visa, Capital One—as well as technology companies such as Meta, Uber, Netflix, Twitter, Dropbox, and Instacart.

Ramp has been named to Fast Company’s Most Innovative Companies list and LinkedIn’s Top U.S. Startups for more than 3 years, as well as the Forbes Cloud 100, CNBC Disruptor 50, and TIME Magazine’s 100 Most Influential Companies.

Explore our Engineering Blog & Emerging Talent Blog for insights into our tech and values!

About the Role
Ramp is, at its core, an engineering company, and is on a mission to build the best engineering team in the US! We are looking for frontend and full-stack engineering interns who are excited to be part of our early story and help us build a diverse and vibrant tech community. Our ideal candidate has a deep understanding of JavaScript, a passion for web performance, and can creatively come up with solutions to solve customer's needs. Our tech stack currently involves TypeScript, React, Vite, and Ryu, our in-house design system.

What You'll Do
Build performant, beautiful, and usable interfaces that solve for growing businesses with complex needs

Ship products and services in cross-functional teams

Work with sales and business teams to incorporate and productize customer feedback

Help establish engineering processes, tools, and systems that will allow us to scale the code base, productivity, and the team

What You'll Need
Graduating with a B.S. (or higher) in Computer Science or a related technical field; this role is ideal for a candidate with an expected graduation date in or around May 2026 given the deferred start date in Summer/Fall 2026

Proficiency in JavaScript, with a knack for getting the visuals right

Experience with one or more object-oriented programming languages

Track record of shipping high quality products and features or a portfolio of side projects

Ability to turn business and product ideas into engineering solutions

Desire to work in a fast-paced environment, continuously grow, and master your craft

Alignment with Ramp’s core values of enabling businesses to grow more by spending less

Nice to Haves
Proficiency in React v16+

Familiarity with or desire to learn our tech stack, which includes, but not limited to: Flask (Python), Elixir, AWS, RabbitMQ, PostgreSQL

Passion for, or curiosity to learn, financial technology

Compensation
The annual salary/OTE range for the target level for this role in NYC is $142,000 to $175,000 + target equity + benefits (including medical, dental, vision, and 401(k)","Entry Level","New York"
"Software Engineer, New Grad (2026)","Sentry","Python, JavaScript, Java","About Sentry
Bad software is everywhere, and we’re tired of it. Sentry is on a mission to help developers write better software faster so we can get back to enjoying technology.

With more than $217 million in funding and 100,000+ organizations that believe we’re on to something, we're building performance and error monitoring tools that help companies like Disney, Microsoft, and Atlassian spend less time fixing bugs and more time building products.

Sentry embraces a hybrid work model, with Mondays, Tuesdays, and Thursdays set as in-office anchor days to encourage meaningful collaboration. If you like to selfishly build things that make your digital life better, come help us build the next generation of software monitoring tools.

About the role
Sentry is looking for talented new graduates to join our growing Software Engineering teams. Engineers at Sentry are challenged to solve a range of technical problems: from building fast and delightful UIs for navigating millions of error and performance events, to architecting solutions that ingest, store, and index terabytes of data every day. As a Software Engineer, New Grad, you will be coached by a diverse team of multi-talented engineers and will directly impact a complex and growing codebase.

In this role you will
Work with a team (SDKs, Ingest, Game Developer Experience) to develop and extend the Sentry product by writing software in either Python, JavaScript, C, C++, Rust (or all)

Be responsible for full software development lifecycle - design, development, testing, and operating in production

Communicate effectively with other engineers in the same team, with other teams and with various other stakeholders (such as product managers)

Act on feedback, coaching, and mentorship from your manager and teammates

You’ll love this job if you
Want to actively use the product you're building (we dogfood Sentry every day)

Want to start your career at a high-growth startup

Want to join a modern software development team that iterates & ships code rapidly

Are excited at the opportunity to contribute to an open-source project every day

Qualifications
B.S. or higher in Computer Science (or similar degree program)

At least 1 previous internship or equivalent practical experience

Implementation skills with one or more general-purpose programming languages, e.g. Python, JavaScript, Java, etc.

Good knowledge of algorithms, data structures, and object-oriented design principles

Experience working with version control and unit testing

Please note the following:

This is a full-time position","Entry-level","New York"
"Software Engineer Graduate (Data Arch - AI/ML Infrastructure) - 2026 Start (BS/MS)","TikTok","Python, Recommendation Systems, C++","Responsibilities

Our Recommendation Architecture Team is responsible for building up and optimizing the architecture for our recommendation products to provide the most stable and best experience for our TikTok users. University graduates are important parts to our team with your fresh ideas and creative thoughts.

We are looking for talented individuals to join our team in 2026. As a graduate, you will get opportunities to pursue bold ideas, tackle complex challenges, and unlock limitless growth. Launch your career where inspiration is infinite at TikTok.

Successful candidates must be able to commit to an onboarding date by end of year 2026. Please state your availability and graduation date clearly in your resume.

Candidates can apply for a maximum of TWO positions and will be considered for jobs in the order you applied for. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.


Responsibilities - What You'll Do
• Build and maintain high performance online services for TikTok recommendation system to support various types of products, such as For You Feed, E-commerce, Social, etc.
• Build extremely efficient and reliable data pipelines for candidates generation, profile generation, training examples generation, realtime online training, etc;
• Build globalized large-scale recommendation system;
• Design and develop high performance computing frameworks and storage systems.

Qualifications

Minimum Qualifications:
• BS/MS degree (or expected by 2026) in Computer Science, Machine Learning, Artificial Intelligence, or related fields.
• Research background in ML/AI, with a focus on inference optimization, model acceleration, or efficient ML systems.
• Experience in programming, included but not limited to, the following programming languages: C, C++, Java or Python.
• Problem-solving skills, self-driven learning mindset, and effective communication.

Preferred Qualifications:
• Demonstrated ability to translate research into practical system implementations.
• Experience (academic or practical) in areas such as recommendation systems, search, distributed systems, or big data processing.

Job Information

【For Pay Transparency】Compensation Description (Annually)

The base salary range for this position in the selected city is $118657 - $187200 annually.​

Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.​

Benefits may vary depending on the nature of employment and the country work location. Employees have day one access to medical, dental, and vision insurance, a 401(k) savings plan with company match, paid parental leave, short-term and long-term disability coverage, life insurance, wellbeing benefits, among others. Employees also receive 10 paid holidays per year, 10 paid sick days per year and 17 days of Paid Personal Time (prorated upon hire with increasing accruals by tenure).​

The Company reserves the right to modify or change these benefits programs at any time, with or without notice.​

For Los Angeles County (unincorporated) Candidates:​

Qualified applicants with arrest or conviction records will be considered for employment in accordance with all federal, state, and local laws including the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act. Our company believes that criminal history may have a direct, adverse and negative relationship on the following job duties, potentially resulting in the withdrawal of the conditional offer of employment:​

1. Interacting and occasionally having unsupervised contact with internal/external clients and/or colleagues;​

2. Appropriately handling and managing confidential information including proprietary and trade secret information and access to information technology systems; and​

3. Exercising sound judgment.​

About TikTok

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and we also have offices in New York City, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.​

Why Join Us

Inspiring creativity is at the core of TikTok's mission. Our innovative product is built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and bring joy - a mission we work towards every day.​

We strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. Every challenge is an opportunity to learn and innovate as one team. We're resilient and embrace challenges as they come. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our company, and our users. When we create and grow together, the possibilities are limitless. Join us.​

​

Diversity & Inclusion​

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.​

TikTok Accommodation

TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at https://tinyurl.com/RA-request","Entry-level"," San Jose"
"Campus Full Time 2026 - Software Developer","5 Rings","C++, Linux","About Five Rings

Five Rings is a proprietary trading firm founded with a vision of combining strategy, innovation and technology to succeed in today’s global markets. With offices in New York, Boca Raton, London and Amsterdam, Five Rings trades in various domestic and international markets, both established and esoteric. Our team constantly seeks new opportunities, analyzes their risks and rewards, and creates strategies and tools to capitalize on them.

We have an open culture and encourage the flow of knowledge and ideas between all areas of the firm.

About the Role

Five Rings gives responsibility immediately and recognizes contributors rapidly. New hires work closely with senior software engineers, traders, and quants developing trading software in C++ on Linux.


Application development includes implementing trading strategies, connecting to exchanges, designing trader-facing interfaces, and translating mathematical models into software code – all within a distributed system that spans the globe. If you can write great software as part of a team, and are comfortable both learning from and becoming a mentor, you’re likely to thrive here.

 

Annual Base Salary: $300,000. Total compensation packages are comprised of base salary and a discretionary bonus.

 

Applicants are able to apply to multiple positions, but we strongly encourage you to only apply to your top choice.","Entry-level","New York"
